# Version 1.00
#
power[dBm]	Trc2_S21[dB]	
-3.820955238809702E+001	2.615625474042719E+001	
-3.819954988747187E+001	2.615156488688324E+001	
-3.818954738684671E+001	2.616516190701277E+001	
-3.817954488622156E+001	2.613112261663699E+001	
-3.816954238559640E+001	2.610164141841870E+001	
-3.815953988497125E+001	2.610682376303072E+001	
-3.814953738434609E+001	2.612350300927558E+001	
-3.813953488372093E+001	2.611100715038906E+001	
-3.812953238309577E+001	2.613255489293526E+001	
-3.811952988247062E+001	2.608327173618351E+001	
-3.810952738184546E+001	2.610483021423336E+001	
-3.809952488122030E+001	2.612369556815393E+001	
-3.808952238059515E+001	2.612333667794925E+001	
-3.807951987996999E+001	2.614393212730353E+001	
-3.806951737934484E+001	2.616577568771455E+001	
-3.805951487871968E+001	2.614176134226962E+001	
-3.804951237809453E+001	2.614876955635597E+001	
-3.803950987746937E+001	2.615113357145909E+001	
-3.802950737684421E+001	2.615569955799111E+001	
-3.801950487621905E+001	2.615718183466661E+001	
-3.800950237559390E+001	2.615900273057529E+001	
-3.799949987496874E+001	2.615719766809183E+001	
-3.798949737434359E+001	2.614875459707890E+001	
-3.797949487371843E+001	2.616178934983963E+001	
-3.796949237309327E+001	2.617697777697514E+001	
-3.795948987246812E+001	2.618031414309469E+001	
-3.794948737184296E+001	2.615000677950054E+001	
-3.793948487121781E+001	2.615174070890757E+001	
-3.792948237059265E+001	2.613628115483585E+001	
-3.791947986996749E+001	2.614488590324728E+001	
-3.790947736934233E+001	2.616949916437617E+001	
-3.789947486871718E+001	2.613392837957416E+001	
-3.788947236809202E+001	2.612240802547163E+001	
-3.787946986746687E+001	2.612497875862400E+001	
-3.786946736684171E+001	2.612659050015389E+001	
-3.785946486621656E+001	2.612707992834299E+001	
-3.784946236559140E+001	2.616523767969909E+001	
-3.783945986496624E+001	2.616525417632824E+001	
-3.782945736434109E+001	2.614490818701454E+001	
-3.781945486371593E+001	2.613755465631996E+001	
-3.780945236309077E+001	2.611053140008385E+001	
-3.779944986246562E+001	2.611189130590874E+001	
-3.778944736184046E+001	2.611581244002324E+001	
-3.777944486121530E+001	2.614465223038812E+001	
-3.776944236059015E+001	2.616870355823671E+001	
-3.775943985996499E+001	2.616481826168337E+001	
-3.774943735933984E+001	2.614626525960016E+001	
-3.773943485871468E+001	2.613050034041299E+001	
-3.772943235808953E+001	2.618050394107107E+001	
-3.771942985746436E+001	2.613024239728970E+001	
-3.770942735683921E+001	2.613512433741578E+001	
-3.769942485621405E+001	2.611507015609224E+001	
-3.768942235558890E+001	2.610351617090039E+001	
-3.767941985496374E+001	2.612122670995116E+001	
-3.766941735433858E+001	2.613016519457128E+001	
-3.765941485371343E+001	2.613813469067141E+001	
-3.764941235308827E+001	2.609246247592592E+001	
-3.763940985246312E+001	2.610478106190977E+001	
-3.762940735183796E+001	2.610048587762761E+001	
-3.761940485121281E+001	2.613819325199252E+001	
-3.760940235058764E+001	2.614548063599944E+001	
-3.759939984996249E+001	2.615917599561786E+001	
-3.758939734933733E+001	2.613578309831211E+001	
-3.757939484871218E+001	2.612824179408109E+001	
-3.756939234808702E+001	2.613018634821449E+001	
-3.755938984746187E+001	2.613758719148401E+001	
-3.754938734683671E+001	2.613773159411983E+001	
-3.753938484621155E+001	2.614249080897831E+001	
-3.752938234558640E+001	2.614682395072433E+001	
-3.751937984496124E+001	2.614777312307986E+001	
-3.750937734433609E+001	2.613552921464827E+001	
-3.749937484371093E+001	2.616069274867059E+001	
-3.748937234308577E+001	2.614586300508891E+001	
-3.747936984246061E+001	2.613712585223943E+001	
-3.746936734183546E+001	2.611045414010124E+001	
-3.745936484121030E+001	2.611409837602952E+001	
-3.744936234058515E+001	2.611837759741837E+001	
-3.743935983995999E+001	2.611258298277114E+001	
-3.742935733933484E+001	2.611244437638199E+001	
-3.741935483870968E+001	2.609883575724705E+001	
-3.740935233808452E+001	2.611212535978341E+001	
-3.739934983745937E+001	2.611662377276836E+001	
-3.738934733683421E+001	2.612542887121968E+001	
-3.737934483620905E+001	2.613082929119125E+001	
-3.736934233558390E+001	2.615468967658793E+001	
-3.735933983495874E+001	2.614826861001636E+001	
-3.734933733433358E+001	2.611661442252015E+001	
-3.733933483370843E+001	2.612485357761167E+001	
-3.732933233308327E+001	2.611236070014595E+001	
-3.731932983245812E+001	2.613509256924217E+001	
-3.730932733183296E+001	2.612675332741811E+001	
-3.729932483120781E+001	2.614309565675346E+001	
-3.728932233058264E+001	2.615108178268718E+001	
-3.727931982995749E+001	2.616088337831107E+001	
-3.726931732933233E+001	2.616341343775403E+001	
-3.725931482870718E+001	2.617499448249176E+001	
-3.724931232808202E+001	2.616188987667324E+001	
-3.723930982745686E+001	2.616834502763215E+001	
-3.722930732683171E+001	2.617416071999973E+001	
-3.721930482620655E+001	2.615741785671159E+001	
-3.720930232558140E+001	2.615247081082537E+001	
-3.719929982495624E+001	2.614764747389685E+001	
-3.718929732433108E+001	2.615564986522345E+001	
-3.717929482370592E+001	2.614959702779249E+001	
-3.716929232308077E+001	2.615641482556127E+001	
-3.715928982245561E+001	2.613624450414792E+001	
-3.714928732183046E+001	2.611652141251659E+001	
-3.713928482120530E+001	2.612286303119204E+001	
-3.712928232058015E+001	2.613239130045662E+001	
-3.711927981995499E+001	2.616887458131650E+001	
-3.710927731932983E+001	2.615835574359045E+001	
-3.709927481870468E+001	2.613849171437661E+001	
-3.708927231807952E+001	2.612560339669711E+001	
-3.707926981745436E+001	2.614009641791147E+001	
-3.706926731682921E+001	2.613971084249780E+001	
-3.705926481620405E+001	2.612577714222668E+001	
-3.704926231557889E+001	2.616350327308390E+001	
-3.703925981495374E+001	2.615686152317597E+001	
-3.702925731432858E+001	2.613592919206104E+001	
-3.701925481370343E+001	2.614988056438970E+001	
-3.700925231307827E+001	2.614315966020989E+001	
-3.699924981245312E+001	2.612491314732945E+001	
-3.698924731182796E+001	2.610410069740057E+001	
-3.697924481120280E+001	2.612032277515793E+001	
-3.696924231057764E+001	2.612003109870052E+001	
-3.695923980995249E+001	2.610372388325614E+001	
-3.694923730932733E+001	2.610645655365128E+001	
-3.693923480870217E+001	2.612709411760109E+001	
-3.692923230807702E+001	2.609600150176520E+001	
-3.691922980745186E+001	2.610046200684484E+001	
-3.690922730682671E+001	2.612044551090585E+001	
-3.689922480620155E+001	2.612609847574012E+001	
-3.688922230557640E+001	2.612674848736067E+001	
-3.687921980495124E+001	2.613868895694110E+001	
-3.686921730432609E+001	2.611089139691575E+001	
-3.685921480370092E+001	2.611513591879191E+001	
-3.684921230307577E+001	2.611126201182824E+001	
-3.683920980245061E+001	2.614752258723724E+001	
-3.682920730182546E+001	2.615210009926717E+001	
-3.681920480120030E+001	2.614947598452244E+001	
-3.680920230057514E+001	2.616664739857102E+001	
-3.679919979994999E+001	2.616183101113429E+001	
-3.678919729932483E+001	2.616331875675019E+001	
-3.677919479869968E+001	2.615590554196607E+001	
-3.676919229807452E+001	2.616351499995706E+001	
-3.675918979744936E+001	2.615747835078185E+001	
-3.674918729682420E+001	2.614068960187707E+001	
-3.673918479619905E+001	2.614740235815088E+001	
-3.672918229557389E+001	2.617190451153195E+001	
-3.671917979494874E+001	2.616996097526847E+001	
-3.670917729432358E+001	2.615311806761775E+001	
-3.669917479369843E+001	2.614373232391901E+001	
-3.668917229307327E+001	2.612495375426653E+001	
-3.667916979244811E+001	2.609188629344666E+001	
-3.666916729182296E+001	2.609454645187276E+001	
-3.665916479119780E+001	2.612172189349044E+001	
-3.664916229057264E+001	2.613250388229792E+001	
-3.663915978994749E+001	2.613472276380801E+001	
-3.662915728932233E+001	2.612351285093771E+001	
-3.661915478869717E+001	2.613541384596352E+001	
-3.660915228807202E+001	2.610756288446812E+001	
-3.659914978744686E+001	2.614317931354910E+001	
-3.658914728682171E+001	2.613091017285870E+001	
