# Version 1.00
#
power[dBm]	Trc2_S21[dB]	
-4.000000000000000E+001	4.286183368697948E+001	
-3.998999749937484E+001	4.312618945072445E+001	
-3.997999499874969E+001	4.333224218927378E+001	
-3.996999249812453E+001	4.353762883152925E+001	
-3.995998999749938E+001	4.344941848463940E+001	
-3.994998749687422E+001	4.319676496056438E+001	
-3.993998499624906E+001	4.344128020064830E+001	
-3.992998249562390E+001	4.333971348733920E+001	
-3.991997999499875E+001	4.320762175072225E+001	
-3.990997749437359E+001	4.332471105936934E+001	
-3.989997499374844E+001	4.317091655118644E+001	
-3.988997249312328E+001	4.268661752697402E+001	
-3.987996999249813E+001	4.340800399924360E+001	
-3.986996749187297E+001	4.326244015096179E+001	
-3.985996499124781E+001	4.300637409985685E+001	
-3.984996249062266E+001	4.304867974613015E+001	
-3.983995998999750E+001	4.355134592536587E+001	
-3.982995748937234E+001	4.327419226230446E+001	
-3.981995498874719E+001	4.333631019536117E+001	
-3.980995248812203E+001	4.297775591931677E+001	
-3.979994998749687E+001	4.332035647799708E+001	
-3.978994748687172E+001	4.304538891115874E+001	
-3.977994498624656E+001	4.308063033868302E+001	
-3.976994248562141E+001	4.352525346916311E+001	
-3.975993998499625E+001	4.305560036846847E+001	
-3.974993748437110E+001	4.349641267528482E+001	
-3.973993498374594E+001	4.319379592238975E+001	
-3.972993248312078E+001	4.298459415774229E+001	
-3.971992998249562E+001	4.285532565539309E+001	
-3.970992748187047E+001	4.348563789773052E+001	
-3.969992498124531E+001	4.388266986740719E+001	
-3.968992248062015E+001	4.342978642986645E+001	
-3.967991997999500E+001	4.308589394196984E+001	
-3.966991747936984E+001	4.364351175463289E+001	
-3.965991497874469E+001	4.371652765364203E+001	
-3.964991247811953E+001	4.312680910836757E+001	
-3.963990997749438E+001	4.340293245741417E+001	
-3.962990747686922E+001	4.342166995102536E+001	
-3.961990497624406E+001	4.340183563454893E+001	
-3.960990247561890E+001	4.345575884879603E+001	
-3.959989997499375E+001	4.342558162247875E+001	
-3.958989747436859E+001	4.335541181647039E+001	
-3.957989497374344E+001	4.312409615477476E+001	
-3.956989247311828E+001	4.320831145971557E+001	
-3.955988997249312E+001	4.338233976154542E+001	
-3.954988747186797E+001	4.345613997130634E+001	
-3.953988497124281E+001	4.359897378439551E+001	
-3.952988247061766E+001	4.405229016786968E+001	
-3.951987996999250E+001	4.354230573372090E+001	
-3.950987746936734E+001	4.318003050523369E+001	
-3.949987496874218E+001	4.356539377744946E+001	
-3.948987246811703E+001	4.370123479007646E+001	
-3.947986996749187E+001	4.347552545912868E+001	
-3.946986746686672E+001	4.331019078237605E+001	
-3.945986496624156E+001	4.310364361294443E+001	
-3.944986246561641E+001	4.335449734841487E+001	
-3.943985996499125E+001	4.316555748784180E+001	
